Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,486,657,763","$716,657,763",48.2%,"$770,000,000",51.8%
2,Jurassic World: Dominion,"$1,001,136,080","$376,009,080",37.6%,"$625,127,000",62.4%
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
4,Minions: The Rise of Gru,"$939,220,210","$369,500,210",39.3%,"$569,720,000",60.7%
5,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
6,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
7,Black Panther: Wakanda Forever,"$678,244,647","$369,679,710",54.5%,"$308,564,937",45.5%
8,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
9,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
10,Sonic the Hedgehog 2,"$402,656,846","$190,872,904",47.4%,"$211,783,942",52.6%
11,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
12,Black Adam,"$377,901,725","$163,001,725",43.1%,"$214,900,000",56.9%
13,Elvis,"$286,040,048","$151,040,048",52.8%,"$135,000,000",47.2%
14,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
15,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
16,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
17,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
18,Smile,"$215,697,888","$105,497,888",48.9%,"$110,200,000",51.1%
19,Nice View,"$211,019,042",-,-,"$211,019,042",100%
20,DC League of Super-Pets,"$203,856,409","$93,656,409",45.9%,"$110,200,000",54.1%
21,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
22,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
23,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
24,One Piece Film: Red,"$164,824,212","$12,775,324",7.8%,"$152,048,888",92.2%
25,Ticket to Paradise,"$162,474,955","$65,215,565",40.1%,"$97,259,390",59.9%
26,The Black Phone,"$161,204,742","$89,887,230",55.8%,"$71,317,512",44.2%
27,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
28,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
29,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
30,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
31,Everything Everywhere All at Once,"$103,365,863","$70,008,593",67.7%,"$33,357,270",32.3%
32,RRR,"$102,166,248","$11,113,000",10.9%,"$91,053,248",89.1%
33,The Roundup,"$101,146,507","$812,859",0.8%,"$100,333,648",99.2%
34,Downton Abbey: A New Era,"$92,235,293","$43,896,550",47.6%,"$48,338,743",52.4%
35,The Woman King,"$92,113,563","$67,013,563",72.8%,"$25,100,000",27.2%
36,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
37,Don't Worry Darling,"$86,708,007","$45,308,007",52.3%,"$41,400,000",47.7%
38,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
39,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
40,"Lyle, Lyle, Crocodile","$82,354,892","$45,254,892",55%,"$37,100,000",45%
41,Jackass Forever,"$80,483,723","$57,743,451",71.7%,"$22,740,272",28.3%
42,Avatar 2022 Re-release,"$75,520,575","$24,714,024",32.7%,"$50,806,551",67.3%
43,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
44,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
45,Moonfall,"$66,810,256","$19,060,660",28.5%,"$47,749,596",71.5%
46,Spider-Man: No Way Home 2022 Re-release,"$64,746,368","$9,321,593",14.4%,"$55,424,775",85.6%
47,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
48,Confidential Assignment 2: International,"$54,451,354",-,-,"$54,451,354",100%
49,Ambulance,"$51,827,870","$22,309,115",43%,"$29,518,755",57%
50,Marry Me,"$50,454,617","$22,438,180",44.5%,"$28,016,437",55.5%
51,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
52,Barbarian,"$45,293,440","$40,842,944",90.2%,"$4,450,496",9.8%
53,Suzume no tojimari,"$45,041,427",-,-,"$45,041,427",100%
54,Paws of Fury: The Legend of Hank,"$41,111,047","$17,811,382",43.3%,"$23,299,665",56.7%
55,Prey for the Devil,"$38,111,256","$19,134,696",50.2%,"$18,976,560",49.8%
56,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
57,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
58,The Menu,"$34,475,947","$19,436,142",56.4%,"$15,039,805",43.6%
59,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
60,Hunt,"$33,719,883",-,-,"$33,719,883",100%
61,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
62,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
63,Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
64,Amsterdam,"$30,996,976","$14,947,969",48.2%,"$16,049,007",51.8%
65,Joker 2022 Re-release,"$30,497,883",-,-,"$30,497,883",100%
66,Tad the Lost Explorer and the Emerald Tablet,"$30,367,599","$67,599",0.2%,"$30,300,000",99.8%
67,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
68,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
69,Strange World,"$28,711,976","$19,287,724",67.2%,"$9,424,252",32.8%
70,The 355,"$27,826,792","$14,570,455",52.4%,"$13,256,337",47.6%
71,Mrs. Harris Goes to Paris,"$27,190,915","$10,433,915",38.4%,"$16,757,000",61.6%
72,Serial (Bad) Weddings 3,"$26,951,351",-,-,"$26,951,351",100%
73,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
74,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
75,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
76,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
77,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
78,6/45,"$22,263,336",-,-,"$22,263,336",100%
79,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
80,See How They Run,"$21,921,551","$9,586,237",43.7%,"$12,335,314",56.3%
81,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
82,Silent Parade,"$21,717,636",-,-,"$21,717,636",100%
83,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
84,Decision to Leave,"$20,962,050","$1,872,361",8.9%,"$19,089,689",91.1%
85,Emergency Declaration,"$20,862,730","$412,196",2%,"$20,450,534",98%
86,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
87,After Ever Happy,"$19,151,524","$1,072,750",5.6%,"$18,078,774",94.4%
88,Three Thousand Years of Longing,"$19,145,896","$8,286,741",43.3%,"$10,859,155",56.7%
89,Beast,"$18,911,959",-,-,"$18,911,959",100%
90,Godfather,"$18,737,287",-,-,"$18,737,287",100%
91,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
92,The Banshees of Inisherin,"$17,728,808","$7,904,578",44.6%,"$9,824,230",55.4%
93,Fall,"$17,253,564","$7,240,521",42%,"$10,013,043",58%
94,Die Schule der magischen Tiere 2,"$17,144,704",-,-,"$17,144,704",100%
95,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
96,The Quintessential Quintuplets Movie,"$16,716,199",-,-,"$16,716,199",100%
97,November,"$16,498,481",-,-,"$16,498,481",100%
98,Father There Is Only One 3,"$16,112,265",-,-,"$16,112,265",100%
99,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
100,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
101,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
102,Maison de retraite,"$15,567,804",-,-,"$15,567,804",100%
103,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
104,Broker,"$15,153,427",-,-,"$15,153,427",100%
105,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
106,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
107,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
108,X,"$14,779,858","$11,765,309",79.6%,"$3,014,549",20.4%
109,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
110,Bros,"$14,697,881","$11,628,165",79.1%,"$3,069,716",20.9%
111,Triangle of Sadness,"$14,454,254","$3,958,022",27.4%,"$10,496,232",72.6%
112,The Duke,"$14,222,161","$1,526,970",10.7%,"$12,695,191",89.3%
113,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
114,Bodies Bodies Bodies,"$13,903,816","$11,446,602",82.3%,"$2,457,214",17.7%
115,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
116,Land of Legends,"$13,732,020",-,-,"$13,732,020",100%
117,The Chosen Season 3: Episode 1 & 2,"$13,662,300","$13,603,064",99.6%,"$59,236",0.4%
118,Glass Onion: A Knives Out Mystery,"$13,280,000","$13,280,000",100%,-,-
119,Valimai,"$13,276,393",-,-,"$13,276,393",100%
120,Simone: Woman of the Century,"$13,080,967",-,-,"$13,080,967",100%
121,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
122,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
123,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
124,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
125,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
126,Moonage Daydream,"$12,043,470","$4,218,925",35%,"$7,824,545",65%
127,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
128,Bergen,"$11,325,405",-,-,"$11,325,405",100%
129,Terrifier 2,"$11,318,824","$10,636,305",94%,"$682,519",6%
130,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
131,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
